Card #,Card Name,Rarity,Variant,PSA 1,PSA 2,PSA 3,PSA 4,PSA 5,PSA 6,PSA 7,PSA 8,PSA 9,PSA 10
1,Baltoy,Common,Regular,,,,,,,,,,
1,Baltoy,Common,Reverse Holo,,,,,,,,,,
2,Carvanha,Common,Regular,,,,,,,,,,
2,Carvanha,Common,Reverse Holo,,,,,,,,,,
3,Corphish,Common,Regular,,,,,,,,,,
3,Corphish,Common,Reverse Holo,,,,,,,,,,
4,Electrike,Common,Regular,,,,,,,,,,
4,Electrike,Common,Reverse Holo,,,,,,,,,,
5,Gulpin,Common,Regular,,,,,,,,,,
5,Gulpin,Common,Reverse Holo,,,,,,,,,,
6,Lotad,Common,Regular,,,,,,,,,,
6,Lotad,Common,Reverse Holo,,,,,,,,,,
7,Makuhita,Common,Regular,,,,,,,,,,
7,Makuhita,Common,Reverse Holo,,,,,,,,,,
8,Mudkip,Common,Regular,,,,,,,,,,
8,Mudkip,Common,Reverse Holo,,,,,,,,,,
9,Numel,Common,Regular,,,,,,,,,,
9,Numel,Common,Reverse Holo,,,,,,,,,,
10,Pikachu,Common,Regular,,,,,,,,,,
10,Pikachu,Common,Reverse Holo,,,,,,,,,,
11,Poochyena,Common,Regular,,,,,,,,,,
11,Poochyena,Common,Reverse Holo,,,,,,,,,,
12,Ralts,Common,Regular,,,,,,,,,,
12,Ralts,Common,Reverse Holo,,,,,,,,,,
13,Shroomish,Common,Regular,,,,,,,,,,
13,Shroomish,Common,Reverse Holo,,,,,,,,,,
14,Slugma,Common,Regular,,,,,,,,,,
14,Slugma,Common,Reverse Holo,,,,,,,,,,
15,Spoink,Common,Regular,,,,,,,,,,
15,Spoink,Common,Reverse Holo,,,,,,,,,,
16,Taillow,Common,Regular,,,,,,,,,,
16,Taillow,Common,Reverse Holo,,,,,,,,,,
17,Zubat,Common,Regular,,,,,,,,,,
17,Zubat,Common,Reverse Holo,,,,,,,,,,
18,Breloom,Uncommon,Regular,,,,,,,,,,
18,Breloom,Uncommon,Reverse Holo,,,,,,,,,,
19,Cacturne,Uncommon,Regular,,,,,,,,,,
19,Cacturne,Uncommon,Reverse Holo,,,,,,,,,,
20,Claydol,Uncommon,Regular,,,,,,,,,,
20,Claydol,Uncommon,Reverse Holo,,,,,,,,,,
21,Combusken,Uncommon,Regular,,,,,,,,,,
21,Combusken,Uncommon,Reverse Holo,,,,,,,,,,
22,Crawdaunt,Uncommon,Regular,,,,,,,,,,
22,Crawdaunt,Uncommon,Reverse Holo,,,,,,,,,,
23,Gloom,Uncommon,Regular,,,,,,,,,,
23,Gloom,Uncommon,Reverse Holo,,,,,,,,,,
24,Golbat,Uncommon,Regular,,,,,,,,,,
24,Golbat,Uncommon,Reverse Holo,,,,,,,,,,
25,Golduck,Uncommon,Regular,,,,,,,,,,
25,Golduck,Uncommon,Reverse Holo,,,,,,,,,,
26,Grumpig,Uncommon,Regular,,,,,,,,,,
26,Grumpig,Uncommon,Reverse Holo,,,,,,,,,,
27,Hariyama,Uncommon,Regular,,,,,,,,,,
27,Hariyama,Uncommon,Reverse Holo,,,,,,,,,,
28,Kirlia,Uncommon,Regular,,,,,,,,,,
28,Kirlia,Uncommon,Reverse Holo,,,,,,,,,,
29,Lombre,Uncommon,Regular,,,,,,,,,,
29,Lombre,Uncommon,Reverse Holo,,,,,,,,,,
30,Manectric,Uncommon,Regular,,,,,,,,,,
30,Manectric,Uncommon,Reverse Holo,,,,,,,,,,
31,Marshtomp,Uncommon,Regular,,,,,,,,,,
31,Marshtomp,Uncommon,Reverse Holo,,,,,,,,,,
32,Mightyena,Uncommon,Regular,,,,,,,,,,
32,Mightyena,Uncommon,Reverse Holo,,,,,,,,,,
33,Minun,Uncommon,Regular,,,,,,,,,,
33,Minun,Uncommon,Reverse Holo,,,,,,,,,,
34,Ninjask,Uncommon,Regular,,,,,,,,,,
34,Ninjask,Uncommon,Reverse Holo,,,,,,,,,,
35,Plusle,Uncommon,Regular,,,,,,,,,,
35,Plusle,Uncommon,Reverse Holo,,,,,,,,,,
36,Shedinja,Uncommon,Regular,,,,,,,,,,
36,Shedinja,Uncommon,Reverse Holo,,,,,,,,,,
37,Shiftry,Uncommon,Regular,,,,,,,,,,
37,Shiftry,Uncommon,Reverse Holo,,,,,,,,,,
38,Silcoon,Uncommon,Regular,,,,,,,,,,
38,Silcoon,Uncommon,Reverse Holo,,,,,,,,,,
39,Swalot,Uncommon,Regular,,,,,,,,,,
39,Swalot,Uncommon,Reverse Holo,,,,,,,,,,
40,Swellow,Uncommon,Regular,,,,,,,,,,
40,Swellow,Uncommon,Reverse Holo,,,,,,,,,,
41,Tropius,Uncommon,Regular,,,,,,,,,,
41,Tropius,Uncommon,Reverse Holo,,,,,,,,,,
42,Volbeat,Uncommon,Regular,,,,,,,,,,
42,Volbeat,Uncommon,Reverse Holo,,,,,,,,,,
43,Altaria,Rare,Regular,,,,,,,,,,
43,Altaria,Rare,Reverse Holo,,,,,,,,,,
44,Beautifly,Rare,Regular,,,,,,,,,,
44,Beautifly,Rare,Reverse Holo,,,,,,,,,,
45,Blaziken,Rare,Regular,,,,,,,,,,
45,Blaziken,Rare,Reverse Holo,,,,,,,,,,
46,Camerupt,Rare,Regular,,,,,,,,,,
46,Camerupt,Rare,Reverse Holo,,,,,,,,,,
47,Gardevoir,Rare,Regular,,,,,,,,,,
47,Gardevoir,Rare,Reverse Holo,,,,,,,,,,
48,Gyarados,Rare,Regular,,,,,,,,,,
48,Gyarados,Rare,Reverse Holo,,,,,,,,,,
49,Jirachi,Rare,Regular,,,,,,,,,,
49,Jirachi,Rare,Reverse Holo,,,,,,,,,,
50,Ludicolo,Rare,Regular,,,,,,,,,,
50,Ludicolo,Rare,Reverse Holo,,,,,,,,,,
51,Lunatone,Rare,Regular,,,,,,,,,,
51,Lunatone,Rare,Reverse Holo,,,,,,,,,,
